,date,filing_date,currency_symbol,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,accumulatedDepreciation,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,EPS,epsEstimate,epsDifference,surprisePercent,Fiscal_Quarter,Date,Price,marketCapitalization,ROE,PE,dividends,dividendYield,DE,currentRatio,BVPS,PB
0,2020-12-31,2021-01-28,USD,354054000000.0,,,13687000000.0,287830000000.0,66224000000.0,,55899000000.0,51744000000.0,14301000000.0,56042000000.0,,43270000000.0,36010000000.0,132507000000.0,12762000000.0,12762000000.0,112043000000.0,179000000.0,37933000000.0,154106000000.0,118745000000.0,66224000000.0,40816000000.0,58620000000.0,99281000000.0,4973000000.0,63846000000.0,,,,179000000.0,,51744000000.0,,14301000000.0,,,43270000000.0,,199948000000.0,,99281000000.0,56042000000.0,155323000000.0,,,,,354054000000.0,76826000000.0,37933000000.0,,17113688000.0,-5279000000.0,29629000000.0,-8584000000.0,-978000000.0,-32249000000.0,-5761000000.0,28755000000.0,-2070000000.0,39789000000.0,37719000000.0,38763000000.0,2666000000.0,195000000.0,-3613000000.0,-950000000.0,-10945000000.0,-24775000000.0,-2883000000.0,1987000000.0,3500000000,-21139000000.0,-2185000000.0,,-2070000000.0,5163000000.0,,33579000000.0,,5631000000.0,,44328000000.0,33579000000.0,36200000000.0,2666000000.0,45000000.0,33534000000.0,77905000000.0,638000000.0,4824000000.0,747000000.0,109000000.0,,,,4824000000.0,111439000000.0,10794000000.0,67111000000.0,-64000000.0,,28755000000.0,28755000000.0,,1.68,1.4158,0.2642,18.6608,Q1,2020-12-31,132.49200000000002,2267426750496.0005,0.5557166048237476,78.86428571428573,-0.21111755689363976,-27269570.99296561,3.191048562454699,1.16300270929083,3.8696510068431773,34.23874653442861
1,2020-09-30,2020-10-30,USD,323888000000.0,,,11264000000.0,258549000000.0,65339000000.0,,49327000000.0,50779000000.0,14966000000.0,46108000000.0,,33952000000.0,38016000000.0,105392000000.0,13769000000.0,13769000000.0,112436000000.0,-406000000.0,36766000000.0,143713000000.0,100887000000.0,65339000000.0,52927000000.0,37445000000.0,98667000000.0,4061000000.0,42296000000.0,,,,-406000000.0,,50779000000.0,,14966000000.0,,,42522000000.0,,180175000000.0,,98667000000.0,54490000000.0,153157000000.0,,,,,323888000000.0,90943000000.0,36766000000.0,,17256521000.0,7468000000.0,11774000000.0,5531000000.0,-703000000.0,-21357000000.0,-4911000000.0,12673000000.0,4750000000.0,35039000000.0,39789000000.0,20576000000.0,2702000000.0,-153000000.0,-3511000000.0,-137000000.0,1768000000.0,-17187000000.0,-406000000.0,1324000000.0,1784000000,-5364000000.0,-2396000000.0,,4750000000.0,4978000000.0,,14901000000.0,,4936000000.0,,24689000000.0,14901000000.0,17477000000.0,2702000000.0,126000000.0,14775000000.0,49923000000.0,634000000.0,2228000000.0,134000000.0,134000000.0,,,,2228000000.0,64698000000.0,9914000000.0,40009000000.0,-8000000.0,,12673000000.0,12673000000.0,,0.73,0.6987,0.0313,4.4797,Q4,2020-09-30,115.438,1992058271198.0,0.24957167332952598,158.13424657534247,-0.2034593183643447,-30414594.84745058,3.2308881372534013,1.3636044481554577,3.7863367708937394,30.48804345334333
2,2020-06-30,2020-07-31,USD,317344000000.0,,,10987000000.0,245062000000.0,72282000000.0,,41318000000.0,48696000000.0,24136000000.0,47606000000.0,,32836000000.0,33383000000.0,95318000000.0,12762000000.0,18675000000.0,106810000000.0,-550000000.0,35687000000.0,140065000000.0,100592000000.0,72282000000.0,59642000000.0,32075000000.0,94048000000.0,3978000000.0,35325000000.0,,,,-550000000.0,,48696000000.0,,24136000000.0,,,41000000000.0,,177279000000.0,,94048000000.0,55696000000.0,149744000000.0,,,,,317344000000.0,93025000000.0,35687000000.0,,17419152000.0,-2998000000.0,-900000000.0,-5165000000.0,2168000000.0,-19116000000.0,-765000000.0,11253000000.0,-8010000000.0,43049000000.0,35039000000.0,16271000000.0,2752000000.0,-602000000.0,-3656000000.0,-689000000.0,-2135000000.0,-15891000000.0,-1737000000.0,2696000000.0,1565000000,-1373000000.0,2532000000.0,,-8010000000.0,4758000000.0,,13137000000.0,,4831000000.0,,22680000000.0,13137000000.0,15843000000.0,2752000000.0,46000000.0,13091000000.0,46594000000.0,697000000.0,1884000000.0,901000000.0,204000000.0,,,,1884000000.0,59685000000.0,9589000000.0,37005000000.0,-158000000.0,,11253000000.0,11253000000.0,,0.65,0.51,0.14,27.451,Q3,2020-06-30,90.7435,1580674819512.0,0.23108674223755546,139.6053846153846,-0.20988392546319132,-40289387.1186366,2.778810768932791,1.4694496317589543,4.149570541665863,21.868166618411223
3,2020-03-31,2020-05-01,USD,320400000000.0,,,15691000000.0,241975000000.0,78425000000.0,,43252000000.0,48032000000.0,33182000000.0,48745000000.0,,33868000000.0,40174000000.0,96094000000.0,20421000000.0,20421000000.0,109507000000.0,-2789000000.0,35889000000.0,143753000000.0,98793000000.0,78425000000.0,53877000000.0,30677000000.0,89086000000.0,3334000000.0,32421000000.0,,,,-2789000000.0,,48032000000.0,,33182000000.0,,,41965000000.0,,176647000000.0,,89086000000.0,56795000000.0,145881000000.0,,,,,320400000000.0,94051000000.0,35889000000.0,,17618764000.0,11338000000.0,-10445000000.0,9013000000.0,803000000.0,-20940000000.0,4195000000.0,11249000000.0,1384000000.0,41665000000.0,43049000000.0,13311000000.0,2786000000.0,-472000000.0,-3375000000.0,727000000.0,5269000000.0,-18574000000.0,-222000000.0,1278000000.0,1853000000,9290000000.0,-1574000000.0,,1384000000.0,4565000000.0,,13135000000.0,,4952000000.0,,22370000000.0,13135000000.0,15639000000.0,2786000000.0,282000000.0,12853000000.0,45460000000.0,757000000.0,1886000000.0,1049000000.0,292000000.0,,,,1886000000.0,58313000000.0,9517000000.0,35943000000.0,-10000000.0,,11249000000.0,11249000000.0,,0.64,0.56,0.08,14.2857,Q2,2020-03-31,63.0835,1111453298794.0,0.23419803464357095,98.56796875,-0.1915571376062475,-53500519.15318586,2.532266496652853,1.4959622869273836,4.451220301265174,14.172181049333759
4,2019-12-31,2020-01-29,USD,340618000000.0,,,12026000000.0,251087000000.0,89531000000.0,,41836000000.0,45972000000.0,43977000000.0,48648000000.0,,33195000000.0,39771000000.0,102161000000.0,15214000000.0,15214000000.0,108292000000.0,-418000000.0,37031000000.0,163231000000.0,99899000000.0,89531000000.0,67391000000.0,39946000000.0,93078000000.0,4097000000.0,45111000000.0,,,,-418000000.0,,45972000000.0,,43977000000.0,,,40457000000.0,,177387000000.0,,93078000000.0,55848000000.0,148926000000.0,,,,,340618000000.0,107162000000.0,37031000000.0,,17818416000.0,-10473000000.0,4425000000.0,-13668000000.0,231000000.0,-25407000000.0,2362000000.0,22236000000.0,-8559000000.0,50224000000.0,41665000000.0,30516000000.0,2816000000.0,-1088000000.0,-3539000000.0,-28000000.0,2015000000.0,-20706000000.0,-1395000000.0,1219000000.0,2107000000,5917000000.0,-6069000000.0,,-8559000000.0,4451000000.0,,25918000000.0,,5197000000.0,,35217000000.0,25918000000.0,28385000000.0,2816000000.0,349000000.0,25569000000.0,66250000000.0,785000000.0,3682000000.0,1045000000.0,260000000.0,,,,3682000000.0,91819000000.0,9648000000.0,56602000000.0,89000000.0,,22236000000.0,22236000000.0,,1.25,1.14,0.11,9.6491,Q1,2019-12-31,72.6753,1294958728324.7998,0.4836857217436701,58.14023999999999,-0.19861473657366627,-48696049.414312705,2.2491650936547116,1.5977819324399722,5.024632941558891,14.463802798190569
5,2019-09-30,2019-10-31,USD,338516000000.0,,,12352000000.0,248028000000.0,90488000000.0,,43242000000.0,45174000000.0,45898000000.0,50503000000.0,,32978000000.0,48844000000.0,105718000000.0,16240000000.0,16240000000.0,108047000000.0,-584000000.0,37378000000.0,162819000000.0,105341000000.0,90488000000.0,51713000000.0,45804000000.0,91807000000.0,4106000000.0,46236000000.0,,,,-584000000.0,,45174000000.0,,45898000000.0,,,32978000000.0,,175697000000.0,,91807000000.0,50503000000.0,142310000000.0,,,,,338516000000.0,100557000000.0,37378000000.0,,18081492000.0,2802000000.0,21934000000.0,-798000000.0,-293000000.0,-21039000000.0,-6319000000.0,13686000000.0,-1927000000.0,52151000000.0,50224000000.0,19910000000.0,3179000000.0,-823000000.0,-3479000000.0,-785000000.0,-8768000000.0,-17444000000.0,-213000000.0,885000000.0,2777000000,-19320000000.0,331000000.0,,-1927000000.0,4110000000.0,,16127000000.0,,4578000000.0,,24313000000.0,16127000000.0,18804000000.0,3179000000.0,502000000.0,15625000000.0,48415000000.0,810000000.0,2441000000.0,1106000000.0,296000000.0,,,,2441000000.0,64040000000.0,8688000000.0,39727000000.0,206000000.0,,13686000000.0,13686000000.0,,0.76,0.71,0.05,7.0423,Q4,2019-09-30,55.2642,999259190186.4,0.3029618807278523,72.71605263157895,-0.19240668856308982,-62952146.2357186,2.2086243479798426,1.540125617208044,5.004454278441182,11.043002278604897
6,2019-06-30,2019-07-31,USD,322239000000.0,,,10530000000.0,225783000000.0,96456000000.0,,37107000000.0,43371000000.0,53724000000.0,51143000000.0,,33634000000.0,50530000000.0,89704000000.0,23482000000.0,23482000000.0,108418000000.0,-639000000.0,37636000000.0,134973000000.0,115996000000.0,96456000000.0,44084000000.0,26474000000.0,84936000000.0,3355000000.0,29115000000.0,,,,-639000000.0,,43371000000.0,,53724000000.0,,,33634000000.0,,187266000000.0,,84936000000.0,51143000000.0,136079000000.0,,,,,322239000000.0,94614000000.0,37636000000.0,,18405520000.0,30120000000.0,-5260000000.0,27502000000.0,-5026000000.0,-26804000000.0,-5203000000.0,10044000000.0,12334000000.0,39817000000.0,52151000000.0,11636000000.0,2933000000.0,-618000000.0,-3629000000.0,1502000000.0,919000000.0,-16955000000.0,-1195000000.0,1457000000.0,2000000000,-214000000.0,1174000000.0,,12334000000.0,4257000000.0,,11911000000.0,,4426000000.0,,20227000000.0,11911000000.0,14477000000.0,2933000000.0,367000000.0,11544000000.0,42265000000.0,866000000.0,1867000000.0,1190000000.0,324000000.0,,,,1867000000.0,53809000000.0,8683000000.0,33582000000.0,43000000.0,,10044000000.0,10044000000.0,,0.55,0.53,0.02,3.7736,Q3,,,,0.23158331604067234,,-0.19716911013652427,,2.004582400265406,1.504648622135022,5.2406017325237215,
7,2019-03-31,2019-05-01,USD,204196000000.0,,,12092000000.0,236138000000.0,105860000000.0,,40900000000.0,42801000000.0,64558000000.0,52165000000.0,,34587000000.0,37988000000.0,93772000000.0,11924000000.0,22429000000.0,102125000000.0,-1499000000.0,38746000000.0,123346000000.0,145319000000.0,105860000000.0,42104000000.0,15085000000.0,90201000000.0,4884000000.0,30443000000.0,,,,-1499000000.0,,42801000000.0,,64558000000.0,,,34587000000.0,,218652000000.0,,90201000000.0,52165000000.0,142366000000.0,,,,,341998000000.0,80092000000.0,38746000000.0,,18802584000.0,15749000000.0,-15366000000.0,13348000000.0,-2506000000.0,-29457000000.0,4037000000.0,11561000000.0,-4954000000.0,44771000000.0,39817000000.0,11155000000.0,3040000000.0,-38000000.0,-3443000000.0,70000000.0,2964000000.0,-23312000000.0,-202000000.0,1176000000.0,2363000000,10675000000.0,-1000000.0,,-4954000000.0,3948000000.0,,13793000000.0,,4458000000.0,,21821000000.0,13793000000.0,16455000000.0,3040000000.0,378000000.0,13415000000.0,44600000000.0,1010000000.0,2232000000.0,1358000000.0,348000000.0,,,,2232000000.0,58015000000.0,8406000000.0,36194000000.0,30000000.0,,11561000000.0,11561000000.0,,0.62,0.59,0.03,5.0847,Q2,,,,0.27011051143664866,,-0.18311312955708642,,1.8167957679954656,1.3153819903595956,5.630077227683174,
8,2018-12-31,2019-01-30,USD,373719000000.0,,,12432000000.0,255827000000.0,117892000000.0,,42249000000.0,40970000000.0,80510000000.0,54555000000.0,,34686000000.0,44771000000.0,108283000000.0,21741000000.0,9772000000.0,114730000000.0,-3588000000.0,39597000000.0,140828000000.0,158608000000.0,117892000000.0,41656000000.0,36981000000.0,92989000000.0,4988000000.0,44293000000.0,,,,-3588000000.0,,40970000000.0,,80510000000.0,,,34686000000.0,,232891000000.0,,92989000000.0,54555000000.0,147544000000.0,,,,,373719000000.0,86427000000.0,39597000000.0,,19093008000.0,9422000000.0,-7931000000.0,5844000000.0,6000000.0,-13676000000.0,6589000000.0,19965000000.0,18858000000.0,25913000000.0,44771000000.0,26690000000.0,3395000000.0,-223000000.0,-3568000000.0,-1076000000.0,5130000000.0,-8796000000.0,-1318000000.0,1558000000.0,3355000000,12035000000.0,-1256000000.0,,18858000000.0,3902000000.0,,23906000000.0,,4783000000.0,,32031000000.0,23906000000.0,26741000000.0,3395000000.0,560000000.0,23346000000.0,60964000000.0,890000000.0,,,,,,,3941000000.0,84310000000.0,8685000000.0,52279000000.0,143000000.0,,19965000000.0,19965000000.0,,1.05,1.04,0.01,0.9615,Q1,2018-12-31,38.4611,734338089988.8,0.4873077861850134,36.629619047619045,-0.1868746925576106,-92769057.56725626,1.7619431343941914,1.3005550271049011,6.174616383128316,6.228905184311064
9,2018-09-30,2018-11-05,USD,365725000000.0,0.0,,12087000000.0,258578000000.0,107147000000.0,2797000000.0,40230000000.0,40201000000.0,70400000000.0,47977000000.0,0.0,22283000000.0,25913000000.0,116866000000.0,20748000000.0,8784000000.0,114483000000.0,-3454000000.0,41304000000.0,131339000000.0,170799000000.0,107147000000.0,40388000000.0,48995000000.0,93735000000.0,3956000000.0,55888000000.0,0.0,0.0,0.0,-3454000000.0,0.0,40201000000.0,0.0,70400000000.0,0.0,,22283000000.0,,234386000000.0,,93735000000.0,45180000000.0,141712000000.0,,,,,365725000000.0,66301000000.0,41304000000.0,,19390188000.0,552000000.0,21854000000.0,-3001000000.0,-27000000.0,-22580000000.0,-12423000000.0,14125000000.0,-6058000000.0,31971000000.0,25913000000.0,19523000000.0,2754000000.0,-512000000.0,-3530000000.0,1942000000.0,-9078000000.0,-19104000000.0,-260000000.0,1830000000.0,3041000000,-22624000000.0,-358000000.0,,-6058000000.0,3750000000.0,0.0,16421000000.0,0.0,4216000000.0,,24084000000.0,16421000000.0,18872000000.0,2754000000.0,303000000.0,16118000000.0,46782000000.0,868000000.0,,,,0.0,0.0,0.0,2296000000.0,62900000000.0,7966000000.0,38816000000.0,-140000000.0,0.0,14125000000.0,14125000000.0,,0.73,0.7,0.03,4.2857,Q4,,,,0.3513594189199274,,-0.1820508393214135,,1.943292859342772,1.1238426916297297,5.525836056875777,
